epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,9,,,2.306154489517212,,
0,19,,,2.2988343238830566,,
0,29,,,2.279151678085327,,
0,39,,,2.231790542602539,,
0,49,,,2.2203500270843506,,
0,59,,,2.205634593963623,,
0,69,,,2.136030673980713,,
0,79,,,2.1945016384124756,,
0,89,,,2.1833903789520264,,
0,99,,,2.1733171939849854,,
0,109,,,2.184857130050659,,
0,119,,,2.1742382049560547,,
0,129,,,2.191955804824829,,
0,139,,,2.144256353378296,,
0,149,,,2.1577751636505127,,
0,159,,,2.1344857215881348,,
0,169,,,2.175281524658203,,
0,179,,,2.1396994590759277,,
0,189,,,2.142446279525757,,
0,199,,,2.0455269813537598,,
0,209,,,2.2053375244140625,,
0,219,,,2.1218488216400146,,
0,229,,,2.1139230728149414,,
0,239,,,2.1761977672576904,,
0,249,,,2.105020523071289,,
0,259,,,2.127753734588623,,
0,269,,,2.046619415283203,,
0,279,,,2.012195110321045,,
0,289,,,2.0710835456848145,,
0,299,,,1.99770987033844,,
0,309,,,2.0110037326812744,,
0,319,,,2.0475218296051025,,
0,329,,,2.1015286445617676,,
0,339,,,2.0437123775482178,,
0,349,,,1.9969788789749146,,
0,359,,,2.013550281524658,,
0,369,,,2.0099709033966064,,
0,379,,,2.0471880435943604,,
0,389,,,2.0127742290496826,,
0,399,,,2.020347833633423,,
0,409,,,2.044677257537842,,
0,419,,,1.9274414777755737,,
0,429,,,1.9617321491241455,,
0,429,,,,0.5040000081062317,1.966187834739685
1,439,,,1.9633592367172241,,
1,449,,,2.0297253131866455,,
1,459,,,1.9651089906692505,,
1,469,,,1.9966692924499512,,
1,479,,,1.847999095916748,,
1,489,,,1.9292762279510498,,
1,499,,,1.9209558963775635,,
1,509,,,1.8765925168991089,,
1,519,,,1.8641966581344604,,
1,529,,,1.8511102199554443,,
1,539,,,1.9034793376922607,,
1,549,,,1.922982096672058,,
1,559,,,1.9015401601791382,,
1,569,,,1.8048337697982788,,
1,579,,,1.9647231101989746,,
1,589,,,1.7936819791793823,,
1,599,,,1.8211809396743774,,
1,609,,,1.8189879655838013,,
1,619,,,1.8478012084960938,,
1,629,,,1.8438100814819336,,
1,639,,,1.7953739166259766,,
1,649,,,1.7953264713287354,,
1,659,,,1.7515275478363037,,
1,669,,,1.7619423866271973,,
1,679,,,1.8068797588348389,,
1,689,,,1.7060941457748413,,
1,699,,,1.7609896659851074,,
1,709,,,1.7551761865615845,,
1,719,,,1.7298943996429443,,
1,729,,,1.7901753187179565,,
1,739,,,1.784033179283142,,
1,749,,,1.7221218347549438,,
1,759,,,1.751557469367981,,
1,769,,,1.7328649759292603,,
1,779,,,1.8196196556091309,,
1,789,,,1.7866369485855103,,
1,799,,,1.7698156833648682,,
1,809,,,1.8201724290847778,,
1,819,,,1.6706799268722534,,
1,829,,,1.7396173477172852,,
1,839,,,1.7051578760147095,,
1,849,,,1.652113437652588,,
1,859,,,1.6858508586883545,,
1,859,,,,0.7261999845504761,1.7368561029434204
2,869,,,1.706407904624939,,
